gene,log2FoldChange
yhbE,1.9272021167362117
mlaB,1.819430156830824
mlaC,1.6514618035807958
mlaD,1.8952894046239055
mlaE,2.48161784533398
mlaF,2.7124716565609974
rapZ,-1.122469960826082
gltB,-4.004348837407914
gltD,-4.145136381499478
gltF,-2.1249037474761296
yhcB,-1.0831985605448768
yhcN,2.192470185486429
tldD,-1.6250880769146558
thrV,2.6345410092837738
alaU,4.235947628821729
ileU,3.6255494517928892
yrdA,-1.524287294270487
aroE,-1.3751952523298054
tsaC,-1.3066355042556594
rsmB,-1.3489646609406223
trkA,-1.3670999224493146
arfA,2.728775350568173
zntR,1.338426766096014
yhdN,1.7085838912581335
gspD,2.4657239677590708
bfr,1.4015505140469737
tufA,-1.9597777096543787
fusA,-1.590025907431778
rpsG,-1.222949801254591
rpsL,-1.3344383355447764
kefB,2.375800319096087
kefG,2.034732546196691
yheS,-1.4866971242114102
crp,-1.2071898525048617
nirB,-3.56033490236808
nirD,-3.05077328078601
nirC,-3.139638805331133
php,2.7479993888075605
trpS,-1.6209383981080916
gph,-1.500415410575014
rpe,-1.4623860962938862
dam,-1.2529333233383624
damX,-1.4457659785091632
pck,-1.2065127084763496
yhgF,-1.7302108785319206
feoA,-2.9099413309742084
feoB,-2.703678900168621
feoC,-2.444517762249819
malP,-1.7790236713862757
malT,-2.97286908396261
glgC,-1.3062383594845122
glgB,-1.3546996053783689
yhgO,-1.2725033539011763
asd,-2.2169357523532724
ugpC,1.7904241808994634
ugpE,2.4943183674409304
ugpA,3.2213008982528866
ugpB,3.971107356084493
livG,-2.9100321448244597
livM,-2.48523142079461
livH,-2.3829521843427854
livK,-2.942853322672735
livJ,-1.7987137901205446
zntA,2.6722259654028164
tusA,1.4020988217022987
yhhQ,1.4039923940793864
nikA,-4.774152599852866
nikB,-3.543639978505258
nikC,-3.2065229850065373
nikD,-2.913094220663046
nikE,-3.0424120357315463
uspA,-1.3450217328268796
yriB,5.301213539346732
rlmJ,-1.2758459288025366
agrA,1.2486705598255496
slp,2.679759303907218
dctR,2.700949814750567
yhiD,2.4439011533301693
hdeB,1.95292951722571
hdeA,1.7444140111239597
hdeD,1.330340171865376
arrS,2.395610436344506
gadE,2.131715935650981
gadF,2.093540015939146
gadW,2.337094778566542
gadY,2.0967309913279726
gadA,2.292002352895065
pdeH,-2.4306089458690994
dctA,-2.530250635624087
dppF,-3.583433476111024
dppD,-4.709003365087262
dppC,-4.257585745524843
dppB,-4.464934237667731
dppA,-4.244897758058156
ghrB,-1.134315792813036
yiaG,2.4472706903713366
